title,genre_names,spoken_languages,production_countries
The Attachment Diaries,"Drama, Mystery, Thriller, Horror",Spanish,Argentina
You Can Live Forever,"Drama, Romance","English, French","Canada, United States of America"
A Tourist's Guide to Love,"Romance, Comedy","English, Vietnamese",United States of America
Other People,"Comedy, Drama",English,United States of America
One True Loves,"Romance, Drama, Comedy",English,"Germany, United States of America"
The Lost Weekend: A Love Story,Documentary,English,United States of America
A Thousand and One,"Drama, Crime","English, Spanish, Portuguese",United States of America
Your Place or Mine,"Romance, Comedy",English,United States of America
Love in the Time of Fentanyl,Documentary,English,"Canada, United States of America"
"Pamela, A Love Story",Documentary,English,United States of America
In from the Side,"Drama, Romance",English,United Kingdom
After Love,Drama,"English, Arabic, French, Urdu",United Kingdom
Alcarràs,Drama,Catalan,Spain
Nelly and Monsieur Arnaud,"Drama, Romance",French,"Germany, France, Italy"
Lady Chatterley,"Drama, Romance",French,"Belgium, France, United Kingdom"
The Sound of Christmas,"TV Movie, Drama",English,United States of America
The Inspection,Drama,"Arabic, Spanish, English",United States of America
Bones and All,"Drama, Horror, Romance",English,"Italy, United States of America"
My Policeman,"Drama, Romance",English,"United Kingdom, United States of America"
About Fate,"Romance, Comedy",English,United States of America
Waiting for Bojangles,"Drama, Comedy, Romance","French, English","France, United States of America"
I Love My Dad,Comedy,English,United States of America
A Love Song,"Drama, Romance","English, Spanish",United States of America
Alone Together,"Romance, Drama",English,United States of America
The Art of Love,"Romance, Comedy",French,France
2099: The Soldier Protocol,"Action, Science Fiction",English,Australia
Thor: Love and Thunder,"Fantasy, Action, Comedy",English,United States of America
Both Sides of the Blade,"Drama, Romance",French,France
Fire of Love,Documentary,"English, French, Spanish, Portuguese","Canada, United States of America"
Sweet Sex and Love,"Romance, Drama",Korean,South Korea
Stay Prayed Up,Documentary,,
Benediction,"Drama, History, War","German, English, French","United Kingdom, United States of America"
Dinner in America,"Comedy, Drama, Music, Romance",English,United States of America
In a New York Minute,Drama,English,
Anaïs in Love,"Drama, Romance, Comedy","French, English",France
I Love America,"Comedy, Romance","French, English",United States of America
See You Then,Drama,English,United States of America
La Mami,Documentary,Spanish,"Mexico, Spain"
Love After Love,Drama,Mandarin,China
Deep Water,"Drama, Mystery, Thriller",English,United States of America
Lucy and Desi,Documentary,English,United States of America
Cyrano,"Drama, Romance",English,"Canada, United Kingdom, United States of America"
The In Between,"Romance, Science Fiction, Drama",English,United States of America
Book of Love,"Comedy, Romance","English, Spanish, Portuguese","Mexico, United Kingdom, United States of America"
Lingui: The Sacred Bonds,Drama,"Arabic, French","Germany, Belgium, Chad, France"
The Pink Cloud,"Drama, Science Fiction",Portuguese,Brazil
A Journal for Jordan,"Drama, Romance",English,"Canada, United States of America"
West Side Story,"Crime, Drama, Romance","Spanish, English",United States of America
Revenge Porn: Love Is Dead,"Drama, Thriller",Japanese,Japan
Love Hard,"Comedy, Romance",English,United States of America
Bergman Island,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden"
Hard Luck Love Song,"Romance, Music, Drama, Thriller","English, Spanish",United States of America
South of Heaven,"Crime, Drama, Thriller",English,"United Kingdom, United States of America"
Wife of a Spy,"Drama, War, Thriller","English, Japanese",Japan
Happier Than Ever: A Love Letter to Los Angeles,"Music, Documentary",English,United States of America
Together,"Drama, Comedy",English,United Kingdom
Annette,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland"
Resort to Love,"Romance, Comedy",English,United States of America
"Woodstock 99: Peace, Love, and Rage","Documentary, Music",English,United States of America
"Casanova, Last Love","Drama, Romance","English, French, German, Italian","Belgium, France, United States of America"
Running Against the Wind,Drama,Amharic,"Ethiopia, Germany"
Clash of Empires: The Battle for Asia,"Action, Adventure","English, Malay, Mandarin",Malaysia
Undine,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany"
This Town,Comedy,English,New Zealand
I Miss You,"Drama, Romance","Spanish, English","Bolivia, United States of America"
Monday,"Drama, Romance","English, Greek","Greece, United Kingdom, United States of America"
Ride or Die,"Drama, Romance, Thriller","English, Japanese","Japan, United States of America"
Future People: The Family Of Donor 5114,Documentary,English,United States of America
Luz,,,
Happily,"Comedy, Romance, Science Fiction, Thriller",English,United States of America
This Is the Life,"Documentary, Music",English,United States of America
To All the Boys: Always and Forever,"Romance, Comedy, Drama","English, Korean",United States of America
Young Hearts,"Romance, Comedy",English,United States of America
Little Fish,"Romance, Science Fiction, Drama",English,"Canada, United States of America"
Just the Two of Us,"Thriller, Drama, Romance",French,France
Atlantis,"Music, Documentary",French,"France, Italy"
Preparations to Be Together for an Unknown Period of Time,Drama,"English, Hungarian",Hungary
Your Name Engraved Herein,"Romance, Drama","Mandarin, English","Taiwan, United States of America"
Sylvie,"Romance, Drama, TV Movie",German,Germany
"ariana grande: excuse me, i love you","Music, Documentary",English,United States of America
Museum Town,Documentary,English,United States of America
Wild Mountain Thyme,"Romance, Drama",English,"Ireland, United Kingdom"
My Psychedelic Love Story,Documentary,English,United States of America
69: The Saga of Danny Hernandez,"Music, Documentary",English,United States of America
Ammonite,"Romance, Drama",English,United Kingdom
Love and Monsters,"Comedy, Action, Adventure, Science Fiction",English,United States of America
Dick Johnson Is Dead,Documentary,English,United States of America
"Love, Guaranteed","Romance, Comedy",English,United States of America
Feel the Beat,"Comedy, Music, Drama","English, Turkish","Canada, United States of America"
Babyteeth,"Drama, Comedy, Romance",English,Australia
Spelling the Dream,Documentary,English,United States of America
A Secret Love,Documentary,English,United States of America
Love Wedding Repeat,"Comedy, Romance","English, Italian","United Kingdom, Italy"
"Comrades, Almost a Love Story","Drama, Romance","Cantonese, Mandarin, English",Hong Kong
Hope Gap,Drama,English,United Kingdom
All the Bright Places,"Romance, Drama",English,United States of America
The Photograph,"Drama, Romance",English,"Canada, United States of America"
You Go To My Head,"Drama, Mystery, Romance, Thriller","English, French","Belgium, France, Germany"
Ordinary Love,"Drama, Romance",English,"Ireland, United Kingdom"
To All the Boys: P.S. I Still Love You,"Romance, Comedy",English,United States of America
The Woman Who Loves Giraffes,Documentary,,"Canada, South Africa, United States of America"
Queen of Hearts,Drama,"Danish, Swedish","Denmark, Sweden"
Marriage Story,Drama,English,United Kingdom
"Cyrano, My Love","Comedy, History","French, Russian","Belgium, France"
Pretenders,Drama,English,United States of America
First Love,"Romance, Drama",English,United States of America
Loro,Drama,Italian,"France, Italy"
Falling Inn Love,"Romance, Comedy",English,United States of America
Hot Air,Drama,English,United States of America
"Love, Antosha",Documentary,"English, Russian",United States of America
Summer,"Family, Drama, TV Movie",Serbo-Croatian,Yugoslavia
The Tomorrow Man,"Drama, Romance",English,United States of America
Asako I & II,"Drama, Romance","Japanese, English",Japan
The Sun Is Also a Star,"Romance, Drama",English,United States of America
Shéhérazade,"Drama, Thriller, Romance",French,France
Long Shot,"Comedy, Romance","French, English, Swedish",United States of America
Clara,"Science Fiction, Drama, Romance","Spanish, English",Canada
Kalank,"Drama, Romance",Hindi,India
Rafiki,"Drama, Romance","Swahili, English","Kenya, South Africa"
Diane,Drama,English,United States of America
Five Feet Apart,"Romance, Drama","Spanish, English, French",United States of America
Ash Is Purest White,"Crime, Romance, Drama",Mandarin,"France, Japan, China"
Gloria Bell,"Drama, Romance",English,"Chile, United States of America"
Black Mother,Documentary,English,"Jamaica, United States of America"
The Hole in the Ground,Horror,English,"United Kingdom, Finland, Ireland"
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",English,United States of America
A Tuba To Cuba,"Documentary, Music, History",English,"Cuba, United States of America"
Fighting with My Family,Comedy,English,"United Kingdom, United States of America"
Sorry Angel,"Comedy, Drama, Romance","Spanish, French",France
"Berlin, I Love You",Drama,"English, German","Germany, United States of America"
Untogether,"Comedy, Drama",English,United States of America
Cold War,"Drama, Romance, War, Music","German, Croatian, French, Italian, Polish, Russian","France, Poland, United Kingdom"
If Beale Street Could Talk,"Romance, Drama",English,United States of America
Asher,"Thriller, Action, Drama",English,United States of America
The Party,Comedy,English,United States of America
Freddie Mercury: The Great Pretender,"Music, Documentary",English,United States of America
Sicilian Ghost Story,"Mystery, Drama, Fantasy",Italian,"France, Italy, Switzerland"
The New Romantic,"Drama, Comedy",English,Canada
Pimp,Drama,English,United States of America
In a Relationship,"Drama, Comedy, Romance",English,"Mexico, United States of America"
